address,token_balance
0x862b09237e2cc8a0f61264a6b8eec5a1d0d05f82,14.622802193486446
0x90a48d5cf7343b08da12e067680b4c6dbfe551be,14.305704723158124
0x0186a2f408daff779feb8b5e6901a0a79f4f7d86,13.030188565982597
0x72fadacacf499e89ccdf047d51824129b7136d42,12.085528968428637
0x8675b754342754a30a2aef474d114d8460bca19b,11.789399628672205
0x6e6f58340a2b7d3ef999bb3c09252b66874e235d,11.590451406884045
0x5b66ceb95fec5dc990c3ac629bcf92e4eb5dc110,11.26589764721233
0x1ad9c961d1c51aa00f8a3c6c72d68fcdce7f4f46,11.100558724307822
0x7d1f1199277fc3cc6494a382205c7ee4120f6953,11.056687170935849
0xf1ee65d4ec7f9ead2b256730b0007255aab78436,10
0xf67dae2fe5a810bd27f9d7764efe4b393b4635bb,9.98588847271819
0x675de202c320f5e5988bc3692a9cb32694c5e837,9.971482424025295
0xba9e1146222788c1629440b9db0105c09c970349,9.91571679000402
0x4d25711ef07f7d3db1374852bf423df36ad93843,8.99739001430131
0xefec8486bc07ebc8a612b83452555d4216ec5de9,8.14074647175784
0x72ff8412d8eade1c645bc600e85d9ada2c44238b,8.015169374235485
0xa7a93fd0a276fc1c0197a5b5623ed117786eed06,8.000000046252687
0xbb077e716a5f1f1b63ed5244ebff5214e50fec8c,6.6968302595806755
0xd81e0983e8e133d34670728406d08637374e545d,6
0x5fc6ae0a7ee27360957dcae5a3cd4397dc9b9c56,5.189147470109606
0x5f0367a6b0dd27c2c5997bbfe2ba040e9c548459,5
0x5aca08bd7fe7dc9bd6a5863a34e21f932dcc2ff8,4.992440371728273
0x553c8a6f87eb209f5eb1e5f0f1c366b397e2a7ff,4.98862198319471
0x0000aeb716a0df7a9a1aad119b772644bc089da8,4.900905609297762
0x760585d61ad9267632cf242883a066ef0889d68d,4.7724585132574635
0xc01318bab7ee1f5ba734172bf7718b5dc6ec90e1,4.462623738436262
0xe86399fe6d7007fdecb08a2ee1434ee677a04433,4
0x09e8ea7b890c8e01ae78c442e4e22c95d1038b65,3.996804305287594
0xda42842918d81fc916a850924f266ab3e8d52d77,3.3624375307513366
0x9f118e28f79c1a1208c321013401270ace6a8ef4,3.006944947460321
0x5a79311083dc82abc2de1e5639673c876cc6757e,2.9999999995145092
0x301588b75f2f098a7029cce492b32c3fe001a989,2.9972874548533577
0xe3538708d2536183c86cb218d32ec664fff63049,2.9769356271554397
0xddb1734d908af939724435dc6c954b8383073613,2.829428305822842
0x984cbe5400ca8d225f4fe2bdb0ffded1771f12cf,2.2029742709621916
0xa7111dbf8e41143117c6bbdd5e478210583387b6,2.1116826229149797
0x4ca046529641b5501e28cfa2089c6ce5bbff0385,2.045590000156713
0xcd34303a0586a2978ccde221d5dbb487f6057b25,2.0292447622768415
0xd8c1b797d2448ce9d2bb1bb1790638567a31b550,2.009956029126148
0x6dac8b392878a80c33449cb4c8a4213a5973a786,2
0xdf2739c156d6605deaca1af42f03acfc0b314e7b,2
0x4be3749a0f6557b8fd98f3967e859dbd7c694ef4,2
0x51e621536dd8fad14fee5e16039b26ba0fefb1c1,2
0x9c6825983984322a4cb7aebe1d7655caf563babc,1.98
0x9ff99514df506ef9fb2482245ff4d1ed780bc125,1.8725
0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,1.6374371231180418
0x8c0a7165855c15d0ce0a63443bae3b6f2910349a,1.4938794868610816
0xa52ad032a5099d04dc4eacc2655c1916285ef10c,1.206254596012376
0x8ac3b96d118288427055ae7f62e407fc7c482f57,1.11
0x6ed96705c0e7ae2fc3016e1a570cfd2a99b95ff0,1.0924773672449195
0xbe1e7953c487e4eb47ce20a44463645831a49eaf,1.051209667
0xad66d27095c94688591a491a8325c09e58578967,1.0128714434084864
0xe48a07cad5f814a56c942643e92095a1bb92a00e,1
0xefa13f48bc38a950a3f472b6101e932e8ee972ed,1
0x86fd849aa3e02907ca7fcdd10c81eea9a1c0631d,1
0xfd940f44e44bfc8cb5846c6c739b45d07a6101d8,0.9999999999998689
0x988676bce1dc26071149d56d91dc8c5cac011949,0.999987
0x99c51d95ce4622a3ef93576244a1d476187d5a4e,0.999977642692182
0x6d5c8bf8b362bf1824c343f81d74b561a96a870b,0.8855308588872929
0xc30d8931c8318ee4811b49afe1dd5421adc869fb,0.839634913094271
0x150b714e0045ea105bd8075bd2ab38093017bc0a,0.7991652500334651
0x7d04e1a7320081f3fdfca0983df0cbb503b42db3,0.7977618178462188
0x5588eb0a15374bd89bf1cf6212b9ae5d4736cbf5,0.6354244491458642
0x9461f1e58f71ff379af2842133c025d1f48306ca,0.5
0x60001fbd7c029e1d68f41e4a3d906883e4859671,0.47065134299216294
0xac8c30347cfe44ea9b957069ec039546dff0116f,0.46611066247482985
0x9099cffd388df26f5ff8060df2534d638df5730e,0.45
0xb6ae437e37fa3612fd3fd622ee98e475ee495bfd,0.4492303947636009
0x4bbd7a1c4e57efadb5b18329173db71e8261c32a,0.443355509584298
0xd8749e8407593a319882d40cf8aa378da54d5adc,0.4391452144482386
0x771fd6c10a477bd38700e03471cda7dcf59bae94,0.4285246947490529
0x33b99ccbc84e8a87e10ec86386a7eb5ad434fb7e,0.425345990173385
0x42852559db15f23c0294da87243047c7fe463e0a,0.3910722030445527
0x3f5466e57690a941e7890b5d470d822fdccc9785,0.305310386287018
0x1f3a3b913d4edad31f82125a8807017ba1e9fc32,0.3002142606477007
0x30a68fc01925723a6ce1a8c730adf1cd044f250f,0.3
0x19a4d6928cd3b32fa4eb3962bff1abca91eb7c52,0.2715019656586385
0x0a43e410f00c88fe07cddedd8ac8bc2e8cd2c9c3,0.2
0x84005371e8c37405faf74c411671deedb41a3027,0.18532117380490853
0xe0e5648dd94b5a2b2f722c19874c6bff4ea92f9a,0.148561748977465
0x74f7b610938a4a0de3904930f02b467a80328ba9,0.126
0x6ffa8ac85b267e83ce0cc4dec60bab67c02296cf,0.10798787833154765
0x0b82ab6fc51edd63e851685314177c524fbc0ff7,0.09991393729367244
0x25cb3019da5eefcdf628758397812e44968932ac,0.09968659534282939
0xaad5356958f61299963b92a4b2f25f14a4995ab8,0.09834972506069402
0x25b0f5ce1cede8d841fe903da291578113c2a8b7,0.09433214724172877
0x6a0ebf977a81d7091aeeb61165e5a52f0bd2db4f,0.08162235557871617
0x5065a2fd7aae6bb8d88836ef1cee6c260ab01338,0.08
0xef59f0ad1be369189e7dd30fb474263a87400c73,0.07475678599844825
0x91b1930d4695fd97c457c1f3ad06f816a16324b6,0.07312360321226342
0x5518d355cddc52a723d7e982765e75661497fd05,0.050381997901611006
0x83001f74c0a07d3919abea098086995119320ec9,0.04096498863806874
0x76408905b13db638130fa561d7c41dce324c7e87,0.04081849810812928
0x93dac074969bc22df0bd910a3ab6ba233f988e2c,0.02
0xc2aab5becede94013e2feabce36031a7e55e35cc,0.02
0xaac6ffa806176c08264f3cea147f56eb308dcdac,0.01999999994114867
0x24bfc715412017922282edfe0d40d06755a68c79,0.016661860996612095
0xd25215758734dd3ade497ce04de1c35820964126,0.015958489939574785
0xfaa4354ffcf5bc0f2e70a56949b11f1d8207f68c,0.015930788794296113
0x8d9bfad5c8c6da6a8f58b2cddb31c1749ce5bfe0,0.01098509679853568
0x8500f37b5fca2447105579dc9bcd05baa9c6e7c6,0.010246978390720512
0x76769d3f48f745383b38b148eeee7755b271231a,0.010135862620717057
0x0e6897f1068b777a6038189cfeae0efbed9f24c9,0.010099999996116993
0x86b15b94ad209b792bbdf09e0f003046a6dad62e,0.01
0x5cd29eedd6f03bf60e087cb52adca595cb1a68af,0.01
0x30065f7a605190de46dea0da6a81e8cd93b29ac2,0.009584822695493631
0x1d50111eac559f65f15b0b113e2258ea4e82f467,0.009551691082891264
0xb733a460f7fd4fdefbd826c338c15241f93fc103,0.009467789098090497
0x5eaa91be5f3363bf35d9ffe80e2d9da585185f72,0.009090380960104448
0x08cb5aee6e3008f1032fe3f9a6ebb377c4e1e081,0.008944154855866368
0x66110a864447c305857452997e7bb974e04f7c28,0.00850691245473792
0x230747cc699d9258447909fde72dfee8c4109865,0.00820725644525568
0x06c67921dab50a8c7f7acf3c94b6662fee70a604,0.008188009744695296
0x828856cdf3b74af8f37e89b9826b09a0edec2b34,0.008054496924008447
0x2e3993cf8c79521bfb3435730fa2e48dea6a712d,0.00777839397830656
0xe2cf8c5ad55e1506744bfe531985fad3197ad4fe,0.00764005425610752
0xf632e95c24f5e774e16e656cf83aa99d08a5d1de,0.007545886284447744
0xd1a858a60bc14f20022aca023a88e3f6a8b76690,0.007378761624322048
0x769809ebf540945224162a87e809f7444a7c09bc,0.007250163131219968
0x4e390532edc01e05b1673dbaf7fcb2ef36622deb,0.00712393793470464
0xddd6c6ff3a1374ba2ebb0880026d6386c9602388,0.007109567016075264
0x901f6aeaa17b08eb69c6bdb25ebfdd1f3574cb92,0.007105389078249472
0xa3b1e23d4cbd1068ddd68095e7a166e91fd990f5,0.007061957496537088
0x4b973135e2a01015e59e595a95ac1ba5af5fec4d,0.00701371139489792
0x857b9a58a8ff082e3f9a14dd6604d3df30f584ec,0.00679103292243968
0xb1673f263b8dc6049f9306db42fbbe38e6646cba,0.006712356822319104
0x0e19e68699cddb732517491b323cab6317393605,0.006709381676662784
0x4c876e57c78799e20f2feb0e982d60155880bf56,0.006211040186466304
0xc88724977005a1f1e0e7c28a63c500233ed5fb8a,0.006082416317825024
0x2ca496cea81a358a61bbc0b8d4df788fe0099818,0.00606462803968
0x09cc2cd8479038942726db43c1764f654429536a,0.0060109208158208
